1616999334436|5|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1616999334437|6|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1616999334438|7|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1616999334456|1|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1616999334457|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1616999334459|0|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1616999388083|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1616999388083|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1616999388086|0|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1616999388086|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1616999388093|0|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1616999388108|10|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1616999404262|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1616999404264|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 4,4
1616999406036|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1616999406040|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1616999407356|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1616999407359|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 4,4
1616999408359|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1616999408361|0|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1616999411576|0|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1616999411578|0|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 4,4
1616999413387|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1616999413391|2|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1616999419043|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = '1')
1616999419046|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = '1') LIMIT 0,4
1616999420826|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = '1')
1616999420828|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = '1') LIMIT 4,4
1616999421935|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = '1')
1616999421937|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = '1') LIMIT 0,4
1616999422641|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = '1')
1616999422645|2|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = '1') LIMIT 4,4
1616999423462|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = '1')
1616999423465|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = '1') LIMIT 0,4
1616999426749|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = '1')
1616999426750|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = '1') LIMIT 4,4
1616999432327|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = '1')
1616999432330|2|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = '1') LIMIT 8,4
1616999434741|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = '1')
1616999434743|0|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = '1') LIMIT 4,4
1616999436593|2|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = '1')
1616999436600|3|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = '1') LIMIT 0,4
1616999440479|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1616999440480|1|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
